# generated by tools/ci/agent-workload-gate.sh
version	os	arch	task	domain	case	jet	bash	python	node	jet_vs_baselines	loss_owner	run_exit	jet_source_tokens	bash_source_tokens	python_source_tokens	node_source_tokens	jet_cold_ns	bash_cold_ns	python_cold_ns	node_cold_ns	jet_warm_ns	bash_warm_ns	python_warm_ns	node_warm_ns	policy_digest
1	linux	x86_64	repository-marker-scan	repository-search-and-edit	success	pass	pass	pass	pass	pass	default-run=#688;wall-time=#666	0	99	123	46	93	14470096997	5417378	20515523	25684478	411170355	5405245	20540320	20546272	32dda970174e8b48d2419f1bc4432520d424d34785ad79e0e48377465f093b3a
1	linux	x86_64	repository-marker-scan-empty	repository-search-and-edit	hostile-empty	pass	pass	pass	pass	pass	default-run=#688;wall-time=#666	0	99	123	46	93	451158252	5426706	20541904	25708444	411981872	5385748	20745202	20543707	32dda970174e8b48d2419f1bc4432520d424d34785ad79e0e48377465f093b3a
1	linux	x86_64	repository-semantic-inspection	repository-search-and-edit	semantic-index	pass	pass	pass	pass	pass	default-run=#688;wall-time=#666	0	148	49	45	42	13694528005	5459128	20539178	25682373	542456532	5363235	20565248	20604783	32dda970174e8b48d2419f1bc4432520d424d34785ad79e0e48377465f093b3a
1	linux	x86_64	repository-semantic-edit	repository-search-and-edit	semantic-rename-with-decoys	pass	pass	pass	pass	pass	default-run=#688;wall-time=#666	0	107	70	66	82	13910954389	10474078	20541603	25600166	845258915	10395558	25547947	25529351	32dda970174e8b48d2419f1bc4432520d424d34785ad79e0e48377465f093b3a
1	linux	x86_64	git-diff-review	build-test-debug-and-git	mixed-change	pass	pass	pass	pass	pass	default-run=#688;wall-time=#666	0	224	341	126	187	13663390967	5465459	25700356	30664019	456119491	10455953	20555488	25651343	32dda970174e8b48d2419f1bc4432520d424d34785ad79e0e48377465f093b3a
1	linux	x86_64	git-diff-empty	build-test-debug-and-git	hostile-empty-diff	pass	pass	pass	pass	pass	default-run=#688;wall-time=#666	0	224	341	126	187	451312055	10464500	25647345	30635796	466040644	10452748	25618580	30734083	32dda970174e8b48d2419f1bc4432520d424d34785ad79e0e48377465f093b3a
1	linux	x86_64	build-test-failure-recovery	build-test-debug-and-git	compile-check-recovery	pass	pass	pass	pass	pass	default-run=#688;wall-time=#666	0	184	62	91	178	17027866072	15571316	106674547	66213210	1322711791	15507865	101655418	66129020	32dda970174e8b48d2419f1bc4432520d424d34785ad79e0e48377465f093b3a
1	linux	x86_64	incident-report-success	data-cleanup-and-report-generation	success	pass	pass	pass	pass	pass	default-run=#688;wall-time=#666	0	177	219	95	143	12305355126	5440902	20603118	20584583	436076398	5380247	15589440	20519929	32dda970174e8b48d2419f1bc4432520d424d34785ad79e0e48377465f093b3a
1	linux	x86_64	incident-report-malformed	data-cleanup-and-report-generation	malformed-input	pass	pass	pass	pass	pass	default-run=#688;wall-time=#666	0	177	219	95	143	425162362	5519442	20531982	25676450	436619904	5420343	20619419	20613388	32dda970174e8b48d2419f1bc4432520d424d34785ad79e0e48377465f093b3a
1	linux	x86_64	incident-report-partial	data-cleanup-and-report-generation	partial-failure	pass	pass	pass	pass	pass	default-run=#688;wall-time=#666	0	177	219	95	143	436290215	5539451	20536291	20555057	426369372	5430101	15465122	20531301	32dda970174e8b48d2419f1bc4432520d424d34785ad79e0e48377465f093b3a
