family	id	kind	label	status	aot	run	interpret	diagnostic_codes	authority_links	sandbox_links	source_evidence	implementation_evidence	fixture_evidence	projection_evidence	intended_difference	runtime_comparison	runtime_aot	runtime_run	runtime_interpret
diagnostic	diagnostic:E0031	diagnostic	Teaching: `unsafe` / C-style FFI → `extern rust` (S50)	active					authority:application-boundary,authority:canonical-holds,authority:package-guarantees,authority:unsafe-policy	sandbox:sentry-fenced-scope	crates/jet-codegen/src/Prelude/Diagnostics.jet:37	crates/jet-cli/src/CLI.rs:79;crates/jet-foundation/src/Syntax/core_surface.rs:611;crates/jet-parser/src/Parser/Items/imports_policy.rs:791;crates/jet-parser/src/Parser/mod.rs:362	MISSING: no fixture reference for E0031	crates/jet-cli/src/CLI.rs:79;crates/jet-foundation/src/Syntax/core_surface.rs:611;crates/jet-parser/src/Parser/Items/imports_policy.rs:791;crates/jet-parser/src/Parser/mod.rs:362					
diagnostic	diagnostic:E0055	diagnostic	Teaching: `#Audit("…")` retired → reason is now the argument of `#Unsafe("…")` (D-UNSAFE2)	retired					authority:application-boundary,authority:canonical-holds,authority:package-guarantees,authority:unsafe-policy	sandbox:sentry-fenced-scope	crates/jet-codegen/src/Prelude/Diagnostics.jet:61	crates/jet-foundation/src/Syntax/core_surface.rs:422;crates/jet-foundation/src/Syntax/math_layout.rs:644;crates/jet-parser/src/Parser/mod.rs:366;crates/jet-parser/src/Parser/Statements/control.rs:960;crates/jet-parser/src/Parser/Statements/control.rs:964;crates/jet-parser/src/Parser/Statements/control.rs:983	MISSING: no fixture reference for E0055	crates/jet-foundation/src/Syntax/core_surface.rs:422;crates/jet-foundation/src/Syntax/math_layout.rs:644;crates/jet-parser/src/Parser/mod.rs:366;crates/jet-parser/src/Parser/Statements/control.rs:960;crates/jet-parser/src/Parser/Statements/control.rs:964;crates/jet-parser/src/Parser/Statements/control.rs:983					
diagnostic	diagnostic:E0066	diagnostic	Retired function effect syntax; use `-[Effects]>` or `-[]>` (D-SHAPE8, D-ARROW-RESPELL1)	retired					authority:application-boundary,authority:canonical-holds		crates/jet-codegen/src/Prelude/Diagnostics.jet:71	crates/jet-parser/src/Parser/Items/functions_params.rs:743;crates/jet-parser/src/Parser/mod.rs:369;crates/jet-parser/src/Parser/mod.rs:2079	tests/diagnostics_coverage.rs:1429;tests/effects.rs:504	crates/jet-parser/src/Parser/Items/functions_params.rs:743;crates/jet-parser/src/Parser/mod.rs:369;crates/jet-parser/src/Parser/mod.rs:2079					
diagnostic	diagnostic:E0068	diagnostic	Retired callable result shape; put the return type before the body arrow (D-SIG-SHAPE1=B)	retired					authority:application-boundary,authority:canonical-holds		crates/jet-codegen/src/Prelude/Diagnostics.jet:73	crates/jet-parser/src/Formatter/mod.rs:2244;crates/jet-parser/src/Parser/Items/functions_params.rs:754;crates/jet-parser/src/Parser/mod.rs:370;crates/jet-parser/src/Parser/mod.rs:2078;crates/jet-parser/src/Parser/mod.rs:2080	MISSING: no fixture reference for E0068	crates/jet-parser/src/Formatter/mod.rs:2244;crates/jet-parser/src/Parser/Items/functions_params.rs:754;crates/jet-parser/src/Parser/mod.rs:370;crates/jet-parser/src/Parser/mod.rs:2078;crates/jet-parser/src/Parser/mod.rs:2080					
diagnostic	diagnostic:E0070	diagnostic	A callable, arm, or lambda uses a retired arrow; use `->` (D-ARROW-RESPELL1=A)	retired					authority:application-boundary,authority:canonical-holds		crates/jet-codegen/src/Prelude/Diagnostics.jet:74	crates/jet-parser/src/Formatter/mod.rs:2244;crates/jet-parser/src/lib.rs:383;crates/jet-parser/src/Parser/Items/functions_params.rs:766;crates/jet-parser/src/Parser/mod.rs:371;crates/jet-parser/src/Parser/mod.rs:2081;crates/jet-parser/src/Parser/mod.rs:2082	tests/dev_parts/routine.rs:4768	crates/jet-parser/src/Formatter/mod.rs:2244;crates/jet-parser/src/lib.rs:383;crates/jet-parser/src/Parser/Items/functions_params.rs:766;crates/jet-parser/src/Parser/mod.rs:371;crates/jet-parser/src/Parser/mod.rs:2081;crates/jet-parser/src/Parser/mod.rs:2082					
diagnostic	diagnostic:E0071	diagnostic	Retired effect-only result-arrow teaching (D-ONELINE-BODY1=B; was D-ARROW-CONTROL1)	retired					authority:application-boundary,authority:canonical-holds		crates/jet-codegen/src/Prelude/Diagnostics.jet:75	MISSING: no implementation reference for E0071	tests/diagnostics_coverage.rs:2034	MISSING: no projection reference for E0071					
diagnostic	diagnostic:E0073	diagnostic	A collecting loop path produces no item or `()` (D-LOOPEVAL1)	active					authority:application-boundary,authority:canonical-holds		crates/jet-codegen/src/Prelude/Diagnostics.jet:77	crates/jet-parser/src/Parser/Statements/control.rs:336;crates/jet-parser/src/Parser/Statements/control.rs:349;crates/jet-sema/src/Sema/CheckerCore/statements.rs:2026;crates/jet-sema/src/Sema/CheckerInfer/calls/lambdas.rs:893;crates/jet-sema/src/Sema/CheckerInfer/calls/lambdas.rs:914	MISSING: no fixture reference for E0073	crates/jet-parser/src/Parser/Statements/control.rs:336;crates/jet-parser/src/Parser/Statements/control.rs:349;crates/jet-sema/src/Sema/CheckerCore/statements.rs:2026;crates/jet-sema/src/Sema/CheckerInfer/calls/lambdas.rs:893;crates/jet-sema/src/Sema/CheckerInfer/calls/lambdas.rs:914					
diagnostic	diagnostic:E0076	diagnostic	Ordinary-loop exits omit a result or use incompatible payload types (D-LOOPSTATE1)	active					authority:application-boundary,authority:canonical-holds		crates/jet-codegen/src/Prelude/Diagnostics.jet:80	crates/jet-sema/src/Sema/CheckerCore/statements.rs:269;crates/jet-sema/src/Sema/CheckerCore/statements.rs:317	MISSING: no fixture reference for E0076	crates/jet-sema/src/Sema/CheckerCore/statements.rs:269;crates/jet-sema/src/Sema/CheckerCore/statements.rs:317					
diagnostic	diagnostic:E0077	diagnostic	The retired Grant scope marker was used (D-AUTHORITY-SCOPE1, D-ONCE-RETIRE1)	retired					authority:application-boundary,authority:build-capabilities,authority:canonical-holds,authority:manifest-holds-allow,authority:manifest-holds-deny		crates/jet-codegen/src/Prelude/Diagnostics.jet:81	crates/jet-foundation/src/Syntax/retirements.rs:267;crates/jet-parser/src/Parser/mod.rs:373;crates/jet-parser/src/Parser/mod.rs:2087;crates/jet-parser/src/Parser/mod.rs:2116;crates/jet-parser/src/Parser/mod.rs:2120;crates/jet-parser/src/Parser/Statements/control.rs:1418	MISSING: no fixture reference for E0077	crates/jet-foundation/src/Syntax/retirements.rs:267;crates/jet-parser/src/Parser/mod.rs:373;crates/jet-parser/src/Parser/mod.rs:2087;crates/jet-parser/src/Parser/mod.rs:2116;crates/jet-parser/src/Parser/mod.rs:2120;crates/jet-parser/src/Parser/Statements/control.rs:1418					
diagnostic	diagnostic:E0079	diagnostic	Effect-only loop uses a result exit (D-LOOPSTATE1)	active					authority:application-boundary,authority:canonical-holds		crates/jet-codegen/src/Prelude/Diagnostics.jet:83	crates/jet-sema/src/Sema/CheckerCore/statements.rs:257	MISSING: no fixture reference for E0079	crates/jet-sema/src/Sema/CheckerCore/statements.rs:257					
diagnostic	diagnostic:E0119	diagnostic	Unknown type name	active					authority:application-boundary,authority:canonical-holds		crates/jet-codegen/src/Prelude/Diagnostics.jet:115	crates/jet-foundation/src/Syntax/retirements.rs:49;crates/jet-foundation/src/Traits.rs:1526;crates/jet-parser/src/Parser/Expressions/lambdas.rs:189;crates/jet-parser/src/Parser/Items/functions_params.rs:609;crates/jet-parser/src/Parser/Items/functions_params.rs:688;crates/jet-parser/src/Parser/mod.rs:951;crates/jet-parser/src/Parser/mod.rs:962;crates/jet-parser/src/Parser/mod.rs:971;crates/jet-parser/src/Parser/Statements/control.rs:1316;crates/jet-parser/src/Parser/Types.rs:956;crates/jet-parser/src/Parser/Types.rs:1484;crates/jet-sema/src/Sema/Bundle.rs:329;crates/jet-sema/src/Sema/Bundle.rs:332;crates/jet-sema/src/Sema/Bundle/GenericModules.rs:2818;crates/jet-sema/src/Sema/CheckerCore/statements.rs:3217;crates/jet-sema/src/Sema/CheckerCore/type_assign.rs:307;crates/jet-sema/src/Sema/CheckerCore/type_assign.rs:332;crates/jet-sema/src/Sema/CheckerCore/type_assign.rs:358;crates/jet-sema/src/Sema/CheckerCore/type_assign.rs:427;crates/jet-sema/src/Sema/CheckerCore/type_assign.rs:458;crates/jet-sema/src/Sema/CheckerCore/type_assign.rs:514;crates/jet-sema/src/Sema/CheckerCore/type_assign.rs:602;crates/jet-sema/src/Sema/CheckerCore/type_assign.rs:622;crates/jet-sema/src/Sema/CheckerCore/type_assign.rs:645	examples/features/web/ui_showcase.jet:21;tests/effect_roots.rs:102;tests/effect_roots.rs:103;tests/effects.rs:385;tests/effects.rs:391;tests/effects.rs:392;tests/effects.rs:674;tests/effects.rs:683;tests/effects.rs:684;tests/effects.rs:938;tests/effects.rs:951;tests/effects.rs:952;tests/effects.rs:1660;tests/effects.rs:1670;tests/effects.rs:1671;tests/effects.rs:1676;tests/fact_reads.rs:125;tests/fact_reads.rs:366;tests/gen_errors.rs:174;tests/gen_errors.rs:195;tests/generics.rs:858;tests/generics.rs:859;tests/generics.rs:886;tests/generics.rs:887	crates/jet-foundation/src/Syntax/retirements.rs:49;crates/jet-foundation/src/Traits.rs:1526;crates/jet-parser/src/Parser/Expressions/lambdas.rs:189;crates/jet-parser/src/Parser/Items/functions_params.rs:609;crates/jet-parser/src/Parser/Items/functions_params.rs:688;crates/jet-parser/src/Parser/mod.rs:951;crates/jet-parser/src/Parser/mod.rs:962;crates/jet-parser/src/Parser/mod.rs:971;crates/jet-parser/src/Parser/Statements/control.rs:1316;crates/jet-parser/src/Parser/Types.rs:956;crates/jet-parser/src/Parser/Types.rs:1484;crates/jet-sema/src/Sema/Bundle.rs:329;crates/jet-sema/src/Sema/Bundle.rs:332;crates/jet-sema/src/Sema/Bundle/GenericModules.rs:2818;crates/jet-sema/src/Sema/CheckerCore/statements.rs:3217;crates/jet-sema/src/Sema/CheckerCore/type_assign.rs:307;crates/jet-sema/src/Sema/CheckerCore/type_assign.rs:332;crates/jet-sema/src/Sema/CheckerCore/type_assign.rs:358;crates/jet-sema/src/Sema/CheckerCore/type_assign.rs:427;crates/jet-sema/src/Sema/CheckerCore/type_assign.rs:458;crates/jet-sema/src/Sema/CheckerCore/type_assign.rs:514;crates/jet-sema/src/Sema/CheckerCore/type_assign.rs:602;crates/jet-sema/src/Sema/CheckerCore/type_assign.rs:622;crates/jet-sema/src/Sema/CheckerCore/type_assign.rs:645					
diagnostic	diagnostic:E0138	diagnostic	An operation used on a nominal `distinct` type whose operation bundles don't grant it (D-CAPBUNDLE1)	active					authority:application-boundary,authority:build-capabilities,authority:canonical-holds,authority:manifest-holds-allow,authority:manifest-holds-deny		crates/jet-codegen/src/Prelude/Diagnostics.jet:130	crates/jet-sema/src/Sema/Diagnostics.rs:1721;crates/jet-sema/src/Sema/mod.rs:702	examples/features/types/capability_bundles.jet:22;tests/fuzz/sema/differential/ex_types_capability_bundles.jet:22	crates/jet-sema/src/Sema/Diagnostics.rs:1721;crates/jet-sema/src/Sema/mod.rs:702					
diagnostic	diagnostic:E0139	diagnostic	A `#Pre`/`#Post` contract condition uses an effect (D-PREPOST1)	active					authority:application-boundary,authority:canonical-holds		crates/jet-codegen/src/Prelude/Diagnostics.jet:131	crates/jet-sema/src/Sema/Diagnostics.rs:1739;crates/jet-sema/src/Sema/Registration.rs:575	MISSING: no fixture reference for E0139	crates/jet-sema/src/Sema/Diagnostics.rs:1739;crates/jet-sema/src/Sema/Registration.rs:575					
diagnostic	diagnostic:E0143	diagnostic	`consume` of a `#SingleUse` value outside an `#Unsafe("reason")` region/fn — the audited deliberate-discard hatch (D-LIN1-DROP/D-DROP-WORD1)	active					authority:application-boundary,authority:canonical-holds,authority:package-guarantees,authority:unsafe-policy	sandbox:sentry-fenced-scope	crates/jet-codegen/src/Prelude/Diagnostics.jet:135	crates/jet-foundation/src/Syntax/effects_surface.rs:432;crates/jet-sema/src/Sema/CheckerInfer/calls/direct_calls.rs:1204;crates/jet-sema/src/Sema/CheckerInfer/calls/direct_calls.rs:1234;crates/jet-sema/src/Sema/CheckerOwnership.rs:7047;crates/jet-sema/src/Sema/CheckerOwnership.rs:7108;crates/jet-sema/src/Sema/CheckerOwnership.rs:7115	examples/features/effects/single_use_discard.jet:13;tests/single_use.rs:245;tests/single_use.rs:258;tests/single_use.rs:259;tests/single_use.rs:262;tests/single_use.rs:265	crates/jet-foundation/src/Syntax/effects_surface.rs:432;crates/jet-sema/src/Sema/CheckerInfer/calls/direct_calls.rs:1204;crates/jet-sema/src/Sema/CheckerInfer/calls/direct_calls.rs:1234;crates/jet-sema/src/Sema/CheckerOwnership.rs:7047;crates/jet-sema/src/Sema/CheckerOwnership.rs:7108;crates/jet-sema/src/Sema/CheckerOwnership.rs:7115					
diagnostic	diagnostic:E0155	diagnostic	Typed URL, Path, or DateTime literal is invalid or contains unsupported interpolation	active					authority:application-boundary,authority:build-capabilities,authority:canonical-holds,authority:manifest-holds-allow,authority:manifest-holds-deny		crates/jet-codegen/src/Prelude/Diagnostics.jet:153	crates/jet-comptime/src/Comptime/mod.rs:210;crates/jet-comptime/src/Comptime/mod.rs:221;crates/jet-sema/src/Sema/CheckerInfer/expr.rs:1743;crates/jet-sema/src/Sema/CheckerInfer/expr.rs:1763;crates/jet-sema/src/Sema/Diagnostics.rs:119;crates/jet-sema/src/Sema/Diagnostics.rs:130	tests/dsl_blocks.rs:130;tests/dsl_blocks.rs:131;tests/dsl_blocks.rs:145;tests/dsl_blocks.rs:146	crates/jet-comptime/src/Comptime/mod.rs:210;crates/jet-comptime/src/Comptime/mod.rs:221;crates/jet-sema/src/Sema/CheckerInfer/expr.rs:1743;crates/jet-sema/src/Sema/CheckerInfer/expr.rs:1763;crates/jet-sema/src/Sema/Diagnostics.rs:119;crates/jet-sema/src/Sema/Diagnostics.rs:130					
diagnostic	diagnostic:E0202	diagnostic	The write-access marker `&` is required at call site — write access not granted	active					authority:application-boundary,authority:build-capabilities,authority:canonical-holds,authority:manifest-holds-allow,authority:manifest-holds-deny		crates/jet-codegen/src/Prelude/Diagnostics.jet:173	crates/jet-comptime/src/Comptime/Methods/dispatch/eval_method.rs:437;crates/jet-sema/src/Sema/CheckerCore/statements.rs:1466;crates/jet-sema/src/Sema/CheckerCore/statements.rs:1637;crates/jet-sema/src/Sema/CheckerCoreLib/core_call.rs:3820;crates/jet-sema/src/Sema/CheckerCoreLib/core_call.rs:5468;crates/jet-sema/src/Sema/CheckerCoreLib/core_call.rs:7567;crates/jet-sema/src/Sema/CheckerCoreLib/core_types.rs:2269;crates/jet-sema/src/Sema/CheckerCoreLib/core_types.rs:2282;crates/jet-sema/src/Sema/CheckerCoreLib/game_checks.rs:4;crates/jet-sema/src/Sema/CheckerCoreLib/game_checks.rs:17;crates/jet-sema/src/Sema/CheckerCoreLib/imports.rs:734;crates/jet-sema/src/Sema/CheckerInfer/calls/direct_calls.rs:2204;crates/jet-sema/src/Sema/CheckerInfer/calls/direct_calls.rs:2261;crates/jet-sema/src/Sema/CheckerInfer/calls/direct_calls.rs:2401;crates/jet-sema/src/Sema/CheckerInfer/calls/method_calls.rs:3842;crates/jet-sema/src/Sema/CheckerInfer/calls/options_rng.rs:192;crates/jet-sema/src/Sema/CheckerInfer/calls/options_rng.rs:242;crates/jet-sema/src/Sema/CheckerOwnership.rs:2264;crates/jet-sema/src/Sema/CheckerOwnership.rs:2361;crates/jet-sema/src/Sema/CheckerOwnership.rs:6002;crates/jet-sema/src/Sema/CheckerOwnership.rs:6056	tests/corelib_parts/runtime.rs:794;tests/corelib_parts/runtime.rs:795;tests/corelib_parts/runtime.rs:844;tests/corelib_parts/runtime.rs:845;tests/corelib_parts/runtime.rs:861;tests/corelib_parts/runtime.rs:862;tests/determinism.rs:570;tests/determinism.rs:585;tests/determinism.rs:586;tests/determinism.rs:591;tests/determinism.rs:610;tests/determinism.rs:611;tests/determinism.rs:639;tests/determinism.rs:654;tests/determinism.rs:655;tests/hardening.rs:42;tests/hardening.rs:194;tests/hardening.rs:307;tests/hardening.rs:372;tests/ownership.rs:712;tests/ownership.rs:2367;tests/ownership.rs:2419;tests/ownership.rs:2758	crates/jet-comptime/src/Comptime/Methods/dispatch/eval_method.rs:437;crates/jet-sema/src/Sema/CheckerCore/statements.rs:1466;crates/jet-sema/src/Sema/CheckerCore/statements.rs:1637;crates/jet-sema/src/Sema/CheckerCoreLib/core_call.rs:3820;crates/jet-sema/src/Sema/CheckerCoreLib/core_call.rs:5468;crates/jet-sema/src/Sema/CheckerCoreLib/core_call.rs:7567;crates/jet-sema/src/Sema/CheckerCoreLib/core_types.rs:2269;crates/jet-sema/src/Sema/CheckerCoreLib/core_types.rs:2282;crates/jet-sema/src/Sema/CheckerCoreLib/game_checks.rs:4;crates/jet-sema/src/Sema/CheckerCoreLib/game_checks.rs:17;crates/jet-sema/src/Sema/CheckerCoreLib/imports.rs:734;crates/jet-sema/src/Sema/CheckerInfer/calls/direct_calls.rs:2204;crates/jet-sema/src/Sema/CheckerInfer/calls/direct_calls.rs:2261;crates/jet-sema/src/Sema/CheckerInfer/calls/direct_calls.rs:2401;crates/jet-sema/src/Sema/CheckerInfer/calls/method_calls.rs:3842;crates/jet-sema/src/Sema/CheckerInfer/calls/options_rng.rs:192;crates/jet-sema/src/Sema/CheckerInfer/calls/options_rng.rs:242;crates/jet-sema/src/Sema/CheckerOwnership.rs:2264;crates/jet-sema/src/Sema/CheckerOwnership.rs:2361;crates/jet-sema/src/Sema/CheckerOwnership.rs:6002;crates/jet-sema/src/Sema/CheckerOwnership.rs:6056					
diagnostic	diagnostic:E0208	diagnostic	Raw pointer op outside `#Unsafe`: postfix `p.*` deref or prefix `*x` raw-of (D-CAP9)	active					authority:application-boundary,authority:canonical-holds,authority:package-guarantees,authority:unsafe-policy	sandbox:sentry-fenced-scope	crates/jet-codegen/src/Prelude/Diagnostics.jet:179	crates/jet-codegen/src/Codegen/TIR/mod.rs:8241;crates/jet-codegen/src/Codegen/TIR/mod.rs:8245;crates/jet-codegen/src/Codegen/TIR/subset/expressions.rs:995;crates/jet-foundation/src/AST/expressions.rs:726;crates/jet-foundation/src/AST/expressions.rs:729;crates/jet-sema/src/Sema/CheckerInfer/expr.rs:4482;crates/jet-sema/src/Sema/CheckerInfer/expr.rs:4505	tests/ownership.rs:2523	crates/jet-codegen/src/Codegen/TIR/mod.rs:8241;crates/jet-codegen/src/Codegen/TIR/mod.rs:8245;crates/jet-codegen/src/Codegen/TIR/subset/expressions.rs:995;crates/jet-foundation/src/AST/expressions.rs:726;crates/jet-foundation/src/AST/expressions.rs:729;crates/jet-sema/src/Sema/CheckerInfer/expr.rs:4482;crates/jet-sema/src/Sema/CheckerInfer/expr.rs:4505					
diagnostic	diagnostic:E0352	diagnostic	Invalid `#Meta` maturity value (D-MARK-META1)	active					authority:application-boundary,authority:build-capabilities,authority:canonical-holds,authority:manifest-holds-allow,authority:manifest-holds-deny		crates/jet-codegen/src/Prelude/Diagnostics.jet:261	crates/jet-parser/src/Parser/Statements/control.rs:818;crates/jet-sema/src/Sema/CheckerCore/bindings.rs:339	tests/ui/meta_bad_maturity.jet:1	crates/jet-parser/src/Parser/Statements/control.rs:818;crates/jet-sema/src/Sema/CheckerCore/bindings.rs:339					
