id	decision_id	scope	lifecycle	form_kind	symbol	surface	examples	source_evidence	parser_status	parser_evidence	formatter_emission_status	formatter_emission_evidence	formatter_roundtrip_status	formatter_roundtrip_evidence	linter_recognition_status	linter_recognition_evidence	linter_teaching_status	linter_teaching_evidence	language_server_status	language_server_evidence	canvas_status	canvas_evidence
syntax-d-ability-name2-surface-abilities-b0c79f6e	D-ABILITY-NAME2	user	current	syntax_shape		.abilities()		crates/jet-foundation/src/Syntax.rs:302	missing	MISSING:A parser or lexer source line directly names this symbol or spelling.	missing	MISSING:A formatter source line directly names this symbol or spelling.	missing	MISSING:A formatter fixture calls the formatter and checks a stable second pass while naming this form.	missing	MISSING:A linter policy or recognition source line directly names this symbol or spelling.	missing	MISSING:A diagnostic teaching path or diagnostic fixture directly names this symbol or spelling.	missing	MISSING:An LSP or editor projection source line directly names this symbol or spelling.	missing	MISSING:A Canvas projection source line directly names this symbol or spelling.
syntax-d-ability-name2-surface-fx-5b11e26c	D-ABILITY-NAME2	user	current	marker_or_sigil		#FX		crates/jet-foundation/src/Syntax.rs:302	covered	crates/jet-parser/src/Parser/mod.rs:1979;crates/jet-parser/src/Parser/mod.rs:1996;crates/jet-parser/src/Parser/mod.rs:2122;crates/jet-parser/src/Parser/Statements/control.rs:1325;crates/jet-parser/src/Parser/Statements/control.rs:1349;crates/jet-parser/src/Parser/Statements/control.rs:1364	missing	MISSING:A formatter source line directly names this symbol or spelling.	covered	crates/jet-parser/src/Parser/mod.rs:1979;crates/jet-parser/src/Parser/mod.rs:1985;tests/fmt.rs:3901;tests/fmt.rs:3902	missing	MISSING:A linter policy or recognition source line directly names this symbol or spelling.	covered	crates/jet-parser/src/Parser/mod.rs:2122;tests/ui/authority_named_handle_escapes.stderr:1;tests/ui/authority_named_handle_escapes.stderr:6;tests/ui/authority_named_handle_escapes.stderr:7;tests/ui/authority_not_dispatch.stderr:1;tests/ui/authority_not_dispatch.stderr:4	covered	editors/zed/languages/jet/highlights.scm:33	covered	crates/jet-devserver/src/Canvas/graph_json.rs:187
syntax-d-ability-name2-surface-authority-d0027de6	D-ABILITY-NAME2	user	current	type_or_name		Authority		crates/jet-foundation/src/Syntax.rs:302	covered	crates/jet-parser/src/Parser/Statements/control.rs:1326;crates/jet-parser/src/Parser/Statements/control.rs:1327;crates/jet-parser/src/Parser/Statements/control.rs:1420	missing	MISSING:A formatter source line directly names this symbol or spelling.	missing	MISSING:A formatter fixture calls the formatter and checks a stable second pass while naming this form.	missing	MISSING:A linter policy or recognition source line directly names this symbol or spelling.	covered	crates/jet-sema/src/Sema/GateLedger.rs:10;tests/ui/authority_named_handle_escapes.stderr:1;tests/ui/authority_named_handle_escapes.stderr:6;tests/ui/authority_not_dispatch.stderr:1;tests/ui/authority_not_dispatch.stderr:4;tests/ui/authority_not_dispatch.stderr:10	missing	MISSING:An LSP or editor projection source line directly names this symbol or spelling.	covered	crates/jet-canvas/src/js/inspector-connections.js:1018;crates/jet-devserver/src/Canvas/graph_json.rs:186;crates/jet-devserver/src/Canvas/project_scan.rs:6;crates/jet-devserver/src/Canvas/project_scan.rs:37;crates/jet-devserver/src/Canvas/project_scan.rs:280;crates/jet-devserver/src/Canvas/project_scan.rs:486
syntax-d-ability-name2-symbol-authority-handle-type-authority-6fb466b1	D-ABILITY-NAME2	user	current	type_or_name	AUTHORITY_HANDLE_TYPE	Authority	#FX(grant: FS, Net) { … }	crates/jet-foundation/src/Syntax/effects_surface.rs:149;crates/jet-foundation/src/Syntax/effects_surface.rs:153;crates/jet-foundation/src/Syntax/effects_surface.rs:153	covered	crates/jet-parser/src/Parser/Statements/control.rs:1326;crates/jet-parser/src/Parser/Statements/control.rs:1327;crates/jet-parser/src/Parser/Statements/control.rs:1420	missing	MISSING:A formatter source line directly names this symbol or spelling.	missing	MISSING:A formatter fixture calls the formatter and checks a stable second pass while naming this form.	missing	MISSING:A linter policy or recognition source line directly names this symbol or spelling.	covered	crates/jet-sema/src/Sema/GateLedger.rs:10;tests/ui/authority_named_handle_escapes.stderr:1;tests/ui/authority_named_handle_escapes.stderr:6;tests/ui/authority_not_dispatch.stderr:1;tests/ui/authority_not_dispatch.stderr:4;tests/ui/authority_not_dispatch.stderr:10	missing	MISSING:An LSP or editor projection source line directly names this symbol or spelling.	covered	crates/jet-canvas/src/js/inspector-connections.js:1018;crates/jet-devserver/src/Canvas/graph_json.rs:186;crates/jet-devserver/src/Canvas/project_scan.rs:6;crates/jet-devserver/src/Canvas/project_scan.rs:37;crates/jet-devserver/src/Canvas/project_scan.rs:280;crates/jet-devserver/src/Canvas/project_scan.rs:486
syntax-d-ability-name2-surface-effect-6ebc2674	D-ABILITY-NAME2	user	current	type_or_name		Effect		crates/jet-foundation/src/Syntax.rs:302	covered	crates/jet-parser/src/Parser/Items/marker_groups.rs:2064;crates/jet-parser/src/Parser/Statements/control.rs:1332;crates/jet-parser/src/Parser/Statements/control.rs:1385	missing	MISSING:A formatter source line directly names this symbol or spelling.	missing	MISSING:A formatter fixture calls the formatter and checks a stable second pass while naming this form.	missing	MISSING:A linter policy or recognition source line directly names this symbol or spelling.	covered	crates/jet-foundation/src/Authority.rs:907;crates/jet-sema/src/Sema/CheckerCore/statements.rs:256;crates/jet-sema/src/Sema/Effects.rs:849;crates/jet-sema/src/Sema/Effects.rs:856;tests/ui/authority_not_dispatch.stderr:1;tests/ui/authority_not_dispatch.stderr:6	covered	editors/jet.tmGrammar:108;editors/tree-sitter/grammar.js:21;editors/vscode/syntaxes/jet.tmLanguage.json:108;editors/zed/grammar-repo/grammar.js:21;editors/zed/grammars/jet/grammar.js:21;editors/zed/languages/jet/highlights.scm:120	covered	crates/jet-canvas/src/js/inspector-connections.js:1018;crates/jet-canvas/src/js/inspector-connections.js:1436
syntax-d-ability-name2-symbol-kw-fx-fx-c8c9f83a	D-ABILITY-NAME2	user	current	type_or_name	KW_FX	FX	#FX | #FX(Net, DB) | #FX(grant: FS, Net) | grant	crates/jet-foundation/src/Syntax/effects_surface.rs:140;crates/jet-foundation/src/Syntax/effects_surface.rs:144;crates/jet-foundation/src/Syntax/effects_surface.rs:144	covered	crates/jet-parser/src/Parser/mod.rs:1979;crates/jet-parser/src/Parser/mod.rs:1996;crates/jet-parser/src/Parser/mod.rs:2122;crates/jet-parser/src/Parser/Statements/control.rs:455;crates/jet-parser/src/Parser/Statements/control.rs:1324;crates/jet-parser/src/Parser/Statements/control.rs:1354	missing	MISSING:A formatter source line directly names this symbol or spelling.	covered	tests/fmt.rs:3901;tests/fmt.rs:3902	missing	MISSING:A linter policy or recognition source line directly names this symbol or spelling.	covered	crates/jet-parser/src/Parser/mod.rs:2122;tests/ui/authority_named_handle_escapes.stderr:1;tests/ui/authority_named_handle_escapes.stderr:6;tests/ui/authority_named_handle_escapes.stderr:7;tests/ui/authority_not_dispatch.stderr:1;tests/ui/authority_not_dispatch.stderr:4	covered	editors/jet.tmGrammar:120;editors/tree-sitter/grammar.js:23;editors/vscode/syntaxes/jet.tmLanguage.json:120;editors/zed/grammar-repo/grammar.js:23;editors/zed/grammars/jet/grammar.js:23;editors/zed/languages/jet/highlights.scm:33	covered	crates/jet-devserver/src/Canvas/graph_json.rs:187
syntax-d-ability-name2-symbol-type-authority-authority-6fba6084	D-ABILITY-NAME2	user	current	type_or_name	TYPE_AUTHORITY	Authority		crates/jet-foundation/src/Syntax/core_surface.rs:928;crates/jet-foundation/src/Syntax/core_surface.rs:930;crates/jet-foundation/src/Syntax/core_surface.rs:930	covered	crates/jet-parser/src/Parser/Statements/control.rs:1326;crates/jet-parser/src/Parser/Statements/control.rs:1327;crates/jet-parser/src/Parser/Statements/control.rs:1420	missing	MISSING:A formatter source line directly names this symbol or spelling.	missing	MISSING:A formatter fixture calls the formatter and checks a stable second pass while naming this form.	missing	MISSING:A linter policy or recognition source line directly names this symbol or spelling.	covered	crates/jet-sema/src/Sema/GateLedger.rs:10;tests/ui/authority_named_handle_escapes.stderr:1;tests/ui/authority_named_handle_escapes.stderr:6;tests/ui/authority_not_dispatch.stderr:1;tests/ui/authority_not_dispatch.stderr:4;tests/ui/authority_not_dispatch.stderr:10	missing	MISSING:An LSP or editor projection source line directly names this symbol or spelling.	covered	crates/jet-canvas/src/js/inspector-connections.js:1018;crates/jet-devserver/src/Canvas/graph_json.rs:186;crates/jet-devserver/src/Canvas/project_scan.rs:6;crates/jet-devserver/src/Canvas/project_scan.rs:37;crates/jet-devserver/src/Canvas/project_scan.rs:280;crates/jet-devserver/src/Canvas/project_scan.rs:486
syntax-d-acro-case1-surface-decision-crates-jet-foundation-src-syntax-rs-794-633a8047	D-ACRO-CASE1	user	current	decision_row				crates/jet-foundation/src/Syntax.rs:794	missing	MISSING:The decision row has no concrete source spelling; coverage cannot be inferred.	missing	MISSING:The decision row has no concrete source spelling; coverage cannot be inferred.	missing	MISSING:The decision row has no concrete source spelling; coverage cannot be inferred.	missing	MISSING:The decision row has no concrete source spelling; coverage cannot be inferred.	missing	MISSING:The decision row has no concrete source spelling; coverage cannot be inferred.	missing	MISSING:The decision row has no concrete source spelling; coverage cannot be inferred.	missing	MISSING:The decision row has no concrete source spelling; coverage cannot be inferred.
syntax-d-acro-case1-surface-decision-crates-jet-foundation-src-syntax-acrony-344a0429	D-ACRO-CASE1	user	current	decision_row				crates/jet-foundation/src/Syntax/acronyms.rs:1	missing	MISSING:The decision row has no concrete source spelling; coverage cannot be inferred.	missing	MISSING:The decision row has no concrete source spelling; coverage cannot be inferred.	missing	MISSING:The decision row has no concrete source spelling; coverage cannot be inferred.	missing	MISSING:The decision row has no concrete source spelling; coverage cannot be inferred.	missing	MISSING:The decision row has no concrete source spelling; coverage cannot be inferred.	missing	MISSING:The decision row has no concrete source spelling; coverage cannot be inferred.	missing	MISSING:The decision row has no concrete source spelling; coverage cannot be inferred.
syntax-d-acro-case1-surface-header-114f9980	D-ACRO-CASE1	user	current	type_or_name		Header		crates/jet-foundation/src/Syntax/acronyms.rs:87	missing	MISSING:A parser or lexer source line directly names this symbol or spelling.	missing	MISSING:A formatter source line directly names this symbol or spelling.	missing	MISSING:A formatter fixture calls the formatter and checks a stable second pass while naming this form.	missing	MISSING:A linter policy or recognition source line directly names this symbol or spelling.	missing	MISSING:A diagnostic teaching path or diagnostic fixture directly names this symbol or spelling.	missing	MISSING:An LSP or editor projection source line directly names this symbol or spelling.	missing	MISSING:A Canvas projection source line directly names this symbol or spelling.
