registry	index	id	spelling	surface	program_path	status	reason	gap_id	fix	command	evidence
Syntax::LEXICAL_LEDGER	0	syntax-registry-000-none-980630f5	::	jet_fmt	scripts/agent/syntax-roundtrip-fixtures/000.jet	pass	jet fmt preserved semantic tokens and was byte-idempotent			["<repo>/target/debug/jet","fmt","<scratch>/syntax-roundtrip/syntax-registry-000-none-980630f5.jet"]	[{"program_path":"scripts/agent/syntax-roundtrip-fixtures/000.jet","semantic_token_count":10,"idempotent":true}]
Syntax::LEXICAL_LEDGER	0	syntax-registry-000-none-980630f5	::	language_server	scripts/agent/syntax-roundtrip-fixtures/000.jet	pass	language server formatting and span response preserved semantic tokens			["<repo>/target/debug/jet","self","lsp"]	[{"program_path":"scripts/agent/syntax-roundtrip-fixtures/000.jet","span":{"start":21,"end":23},"formatting_edits":1,"span_response":"null"}]
Syntax::LEXICAL_LEDGER	0	syntax-registry-000-none-980630f5	::	canvas	scripts/agent/syntax-roundtrip-fixtures/000.jet	pass	Canvas projection retained source_text semantic tokens			["node","scripts/agent/syntax-roundtrip-canvas-probe.mjs","<repo>/scripts/agent/syntax-roundtrip-fixtures/000.jet"]	[{"program_path":"scripts/agent/syntax-roundtrip-fixtures/000.jet","semantic_token_count":10}]
Syntax::LEXICAL_LEDGER	1	syntax-registry-001-none-910625f0	:=	jet_fmt	scripts/agent/syntax-roundtrip-fixtures/001.jet	pass	jet fmt preserved semantic tokens and was byte-idempotent			["<repo>/target/debug/jet","fmt","<scratch>/syntax-roundtrip/syntax-registry-001-none-910625f0.jet"]	[{"program_path":"scripts/agent/syntax-roundtrip-fixtures/001.jet","semantic_token_count":10,"idempotent":true}]
Syntax::LEXICAL_LEDGER	1	syntax-registry-001-none-910625f0	:=	language_server	scripts/agent/syntax-roundtrip-fixtures/001.jet	pass	language server formatting and span response preserved semantic tokens			["<repo>/target/debug/jet","self","lsp"]	[{"program_path":"scripts/agent/syntax-roundtrip-fixtures/001.jet","span":{"start":21,"end":23},"formatting_edits":1,"span_response":"null"}]
Syntax::LEXICAL_LEDGER	1	syntax-registry-001-none-910625f0	:=	canvas	scripts/agent/syntax-roundtrip-fixtures/001.jet	pass	Canvas projection retained source_text semantic tokens			["node","scripts/agent/syntax-roundtrip-canvas-probe.mjs","<repo>/scripts/agent/syntax-roundtrip-fixtures/001.jet"]	[{"program_path":"scripts/agent/syntax-roundtrip-fixtures/001.jet","semantic_token_count":10}]
Syntax::LEXICAL_LEDGER	2	syntax-registry-002-none-260c9112	#	jet_fmt	scripts/agent/syntax-roundtrip-fixtures/002.jet	uncovered	No fixture program is registered for LEXICAL_LEDGER[2]	syntax-roundtrip:syntax-registry-002-none-260c9112:jet_fmt	Add a real fixture for syntax-registry-002-none-260c9112 and exercise jet_fmt	null	[]
Syntax::LEXICAL_LEDGER	2	syntax-registry-002-none-260c9112	#	language_server	scripts/agent/syntax-roundtrip-fixtures/002.jet	uncovered	No fixture program is registered for LEXICAL_LEDGER[2]	syntax-roundtrip:syntax-registry-002-none-260c9112:language_server	Add a real fixture for syntax-registry-002-none-260c9112 and exercise language_server	null	[]
Syntax::LEXICAL_LEDGER	2	syntax-registry-002-none-260c9112	#	canvas	scripts/agent/syntax-roundtrip-fixtures/002.jet	uncovered	No fixture program is registered for LEXICAL_LEDGER[2]	syntax-roundtrip:syntax-registry-002-none-260c9112:canvas	Add a real fixture for syntax-registry-002-none-260c9112 and exercise canvas	null	[]
Syntax::LEXICAL_LEDGER	3	syntax-registry-003-devpanel-80af9d89	#DevPanel	jet_fmt	scripts/agent/syntax-roundtrip-fixtures/003.jet	uncovered	No fixture program is registered for LEXICAL_LEDGER[3]	syntax-roundtrip:syntax-registry-003-devpanel-80af9d89:jet_fmt	Add a real fixture for syntax-registry-003-devpanel-80af9d89 and exercise jet_fmt	null	[]
